dataset,seed,draw,target_h,measured_h,reliability_gain
credit,3,16,1.5,0.05173080882412754,4.4031380119213814e-05
credit,3,17,1.5,0.05236922980223901,0.00099434893665018
credit,3,18,1.5,0.05043629466967958,-0.0005829406278019533
credit,3,19,1.5,0.046491061062092096,-0.0005829406278019533
credit,3,0,2.0,0.048893915688230115,0.0005829406278019533
credit,3,1,2.0,0.051606131291820685,-0.00036737692872890193
credit,3,2,2.0,0.056009078821001056,-4.4031380119213814e-05
credit,3,3,2.0,0.046412284326791835,-0.0011658812556039067
credit,3,4,2.0,0.04176783457126993,0.0002595950791922652
credit,3,5,2.0,0.0489369573026206,-0.0011218498754846928
credit,3,6,2.0,0.04775253467253369,0.0005632215385039663
credit,3,7,2.0,0.051224693863303035,-0.0002595950791922652
credit,3,8,2.0,0.054972519253498546,0.0005829406278019533
credit,3,9,2.0,0.05177566330401371,-0.0002595950791922652
credit,3,10,2.0,0.04891964937437496,-0.0008425357069942185
credit,3,11,2.0,0.043669540916421085,-0.00038709601802677795
credit,3,12,2.0,0.05065476627888362,0.00038709601802677795
credit,3,13,2.0,0.048985799130018395,0.0004311273981461028
credit,3,14,2.0,0.05215185676878344,-0.0011218498754846928
credit,3,15,2.0,0.049093359795930956,-0.0006466910972192652
credit,3,16,2.0,0.052435202173278794,0.0002595950791922652
credit,3,17,2.0,0.055200292730145484,0.00047515877826542763
credit,3,18,2.0,0.052766884675505735,-0.0005829406278020643
credit,3,19,2.0,0.04591585142476761,-0.0008425357069942185
credit,4,0,0.0,0.034048604821152684,-0.0006012725064681312
credit,4,1,0.0,0.03432467712200578,-0.00017754369290878813
credit,4,2,0.0,0.03438495090468255,-7.161148951895235e-05
credit,4,3,0.0,0.03647930202825601,0.0004953403030784065
credit,4,4,0.0,0.03297586653794198,-0.0004237288135593431
credit,4,5,0.0,0.03331927179621293,0.0013084772163260983
credit,4,6,0.0,0.03234103333927233,-0.000990680606156591
credit,4,7,0.0,0.03642738042763383,0.0007788161993769194
credit,4,8,0.0,0.03353205436312321,0.00021186440677967155
credit,4,9,0.0,0.03461223006546387,0.0003894080996884597
credit,4,10,0.0,0.03588855423577402,-0.0003177966101693963
credit,4,11,0.0,0.03434380795621685,0.0011309335234173101
credit,4,12,0.0,0.03466191790666164,-0.00017754369290878813
credit,4,13,0.0,0.033383710043324445,-0.0006012725064681312
credit,4,14,0.0,0.033063040948259965,0.0004953403030782955
credit,4,15,0.0,0.035383472671218344,3.4320713870883424e-05
credit,4,16,0.0,0.033051905300526443,-0.00017754369290889915
credit,4,17,0.0,0.03546521369690538,7.161148951895235e-05
credit,4,18,0.0,0.034369464905695174,-3.4320713870883424e-05
credit,4,19,0.0,0.034524317601892944,0.0010966128095464267
credit,4,0,0.5,0.033371725162412005,-0.00021186440677967155
credit,4,1,0.5,0.0353774823985899,0.00021186440677967155
credit,4,2,0.5,0.03372500661956019,0.0002834758962986239
credit,4,3,0.5,0.035970382147872966,0.000990680606156702
credit,4,4,0.5,0.033299180738774976,-0.0006012725064681312
credit,4,5,0.5,0.03403990819020843,0.0014860209092349974
credit,4,6,0.5,0.031106038744431005,-0.0006012725064681312
credit,4,7,0.5,0.03580439370465417,-0.00010593220338983578
credit,4,8,0.5,0.03339060343616677,0.000707204709858078
credit,4,9,0.5,0.034581676976413754,0.0008131369132478028
credit,4,10,0.5,0.03562505607448493,-0.0011309335234173101
credit,4,11,0.5,0.03382981122233129,0.0004237288135593431
credit,4,12,0.5,0.03596748418071941,-0.0010966128095464267
credit,4,13,0.5,0.03385661787034376,-0.0010966128095464267
credit,4,14,0.5,0.03383352735722112,0.00017754369290878813
credit,4,15,0.5,0.034499307864975855,-0.0002834758962986239
credit,4,16,0.5,0.032718570437429643,0.00028347589629873493
credit,4,17,0.5,0.03570611491268036,0.0
credit,4,18,0.5,0.03428322969365625,-0.0003894080996884597
credit,4,19,0.5,0.033900581100187344,0.00017754369290878813
credit,4,0,1.0,0.03487685396299069,0.001875429008923346
credit,4,1,1.0,0.03661730341513196,0.00021186440677967155
credit,4,2,1.0,0.033350436435954756,0.0003894080996884597
credit,4,3,1.0,0.035329203757587156,0.00028347589629873493
credit,4,4,1.0,0.03363824535342454,-0.00031779661016950733
credit,4,5,1.0,0.03501297103792229,0.0004953403030782955
credit,4,6,1.0,0.029600148962526256,-0.0006012725064681312
credit,4,7,1.0,0.03560017233165984,-0.0006728839959870836
credit,4,8,1.0,0.0332862634460313,-0.00028347589629873493
credit,4,9,1.0,0.03495564080660875,0.0004953403030782955
credit,4,10,1.0,0.03540996318725614,-0.0006355932203390147
credit,4,11,1.0,0.03325778620448098,-0.00046101958920741204
credit,4,12,1.0,0.037222943816454176,-0.0006012725064681312
credit,4,13,1.0,0.03433029564754789,-0.00010593220338983578
credit,4,14,1.0,0.03475243422260774,0.0005669517925972478
credit,4,15,1.0,0.03516942390737244,0.0003894080996884597
