dataset,target_heterogeneity,measured_heterogeneity,seed,draw,weighted,uniform_l2,gain
credit,0.0,6.22051832973712,12,14,0.6544538032220564,0.6360974580036255,0.01835634521843088
credit,0.0,6.250326353221062,12,15,0.6534212396536018,0.634804294290454,0.01861694536314773
credit,0.0,6.228048185430726,12,16,0.6514066682997179,0.6342135092470317,0.017193159052686258
credit,0.0,6.2530850131105975,12,17,0.6555283756628492,0.6394097890509559,0.01611858661189325
credit,0.0,6.231947762776831,12,18,0.6510764834010125,0.6343159109128085,0.016760572488204062
credit,0.0,6.220036765727001,12,19,0.6545187919957698,0.6376978267141273,0.016820965281642453
credit,0.0,6.227519810807988,13,0,0.645842790705025,0.6310035798654781,0.014839210839546979
credit,0.0,6.2324370822033455,13,1,0.6387907830760202,0.6299290074246852,0.008861775651335058
credit,0.0,6.244704595052279,13,2,0.6423584732379294,0.6300826099233503,0.012275863314579083
credit,0.0,6.246982668138406,13,3,0.643395632786659,0.6292778295878244,0.0141178031988346
credit,0.0,6.255688052687671,13,4,0.6399533241919018,0.6336319161641595,0.006321408027742281
credit,0.0,6.2365330541619315,13,5,0.6413488895708499,0.6347156805655023,0.0066332090053475845
credit,0.0,6.239338900161467,13,6,0.6418700898602838,0.6281520563141432,0.013718033546140651
credit,0.0,6.248904150827173,13,7,0.6427772718615865,0.6311617783444182,0.011615493517168285
credit,0.0,6.274880217867778,13,8,0.6421352859852758,0.634813486251004,0.007321799734271828
credit,0.0,6.212538696131426,13,9,0.6427864638221366,0.6328363277891835,0.009950136032953028
credit,0.0,6.24901093588249,13,10,0.6418884737813839,0.6292732336075494,0.01261524017383453
credit,0.0,6.25371798318094,13,11,0.6424234620116428,0.633315519206279,0.009107942805363756
credit,0.0,6.250593921864785,13,12,0.6389673654760606,0.6341715003746933,0.004795865101367314
credit,0.0,6.246314970293173,13,13,0.6448423989984956,0.6288498390036172,0.015992559994878364
credit,0.0,6.223429162092998,13,14,0.6424746628445313,0.6329991222483987,0.009475540596132537
credit,0.0,6.249319499116252,13,15,0.6445168100800652,0.6301850115891271,0.01433179849093813
credit,0.0,6.268742289286122,13,16,0.6375114073036738,0.6331573207273389,0.004354086576334959
credit,0.0,6.214705313469443,13,17,0.640809305360316,0.6324595380378648,0.008349767322451185
credit,0.0,6.249678334183395,13,18,0.6412235080036981,0.6315943649089004,0.009629143094797676
credit,0.0,6.255268565198011,13,19,0.6455821905603081,0.6303569980088923,0.015225192551415745
credit,0.0,6.248403694592353,14,0,0.6464749395709226,0.6285610179273871,0.017913921643535557
credit,0.0,6.233228513562532,14,1,0.6524247988774843,0.6324221251458014,0.020002673731682852
credit,0.0,6.225579788613046,14,2,0.6518944066275003,0.625272311831295,0.026622094796205364
credit,0.0,6.255764823258507,14,3,0.6512340368300895,0.6297333960536817,0.021500640776407787
credit,0.0,6.241250558237034,14,4,0.647754315343269,0.6290402093444826,0.018714105998786423
credit,0.0,6.2384346773632995,14,5,0.6500478707629698,0.6291938118431477,0.02085405891982206
credit,0.0,6.23862906077884,14,6,0.6481960938683011,0.6312405550589567,0.016955538809344417
credit,0.0,6.246340687378935,14,7,0.6515084249156315,0.6277424496510361,0.02376597526459545
credit,0.0,6.238414047082117,14,8,0.6539273619024842,0.6314591463313353,0.022468215571148975
credit,0.0,6.264316597380634,14,9,0.6460193731050652,0.6291984078234227,0.016820965281642453
credit,0.0,6.246554847104648,14,10,0.6513922353090297,0.628286629841845,0.023105605467184653
credit,0.0,6.25359291371745,14,11,0.6558953284037548,0.629096006157646,0.026799322246108703
credit,0.0,6.237551641179558,14,12,0.6515176168761816,0.6298403936997334,0.021677223176448157
credit,0.0,6.225545439356488,14,13,0.648987086263002,0.6287750132194907,0.020212073043511358
credit,0.0,6.226046448035307,14,14,0.6500616587037948,0.6344642723813354,0.015597386322459439
credit,0.0,6.2393498688816935,14,15,0.648447502052468,0.6294124031155264,0.019035098936941663
credit,0.0,6.230292352270928,14,16,0.6426092363722331,0.628821618072104,0.01378761830012909
credit,0.0,6.220481153604347,14,17,0.6502894419367236,0.6272074614207772,0.023081980515946343
credit,0.0,6.249145610784819,14,18,0.6486569013642965,0.628821618072104,0.01983528329219253
